"id","name","code","account_type","reconcile","name@vi_VN","tag_ids"
"chart21511","Livestock for periodic production that have not yet reached maturity","21511","asset_non_current","False","Súc vật nuôi cho sản phẩm định kỳ chưa đạt đến giai đoạn trưởng thành",""
"chart215121","Original price","215121","asset_non_current","False","Nguyên giá",""
"chart215122","Accumulated Depreciation","215122","asset_non_current","False","Giá trị khấu hao luỹ kế",""
"chart21521","Livestock that produces one-time products - Short term","21521","asset_non_current","False","Súc vật nuôi lấy sản phẩm một lần - Ngắn hạn",""
"chart21522","Livestock that produces one-time products - Long term","21522","asset_non_current","False","Súc vật nuôi lấy sản phẩm một lần - Dài hạn",""
"chart21531","Seasonal or one-time crop - Short term","21531","asset_non_current","False","Cây trồng theo mùa vụ hoặc lấy sản phẩm một lần - Ngắn hạn",""
"chart21532","Seasonal or one-time crop - Long term","21532","asset_non_current","False","Cây trồng theo mùa vụ hoặc lấy sản phẩm một lần - Dài hạn",""
"chart217","Investment properties","217","asset_non_current","False","Bất động sản đầu tư","l10n_vn.investing_purchase_FA"
"chart221","Investment in subsidiaries","221","asset_non_current","False","Đầu tư vào công ty con","l10n_vn.investing_cash_out_captial_contribution,l10n_vn.investing_cash_in_captial_contribution"
"chart222","Investment in joint ventures and associates","222","asset_non_current","False","Đầu tư vào công ty liên doanh, liên kết","l10n_vn.investing_cash_out_captial_contribution,l10n_vn.investing_cash_in_captial_contribution"
"chart2281","Equity investments in other entities - short term","22811","asset_non_current","False","Đầu tư góp vốn vào đơn vị khác - ngắn hạn","l10n_vn.investing_cash_out_captial_contribution,l10n_vn.investing_cash_in_captial_contribution"
"chart22812","Equity investments in other entities - long term","22812","asset_non_current","False","Đầu tư góp vốn vào đơn vị khác - dài hạn","l10n_vn.investing_cash_out_captial_contribution,l10n_vn.investing_cash_in_captial_contribution"
"chart22881","Other investment - short term","22881","asset_non_current","False","Đầu tư khác - ngắn hạn","l10n_vn.investing_cash_out_captial_contribution,l10n_vn.investing_cash_in_captial_contribution"
"chart22882","Other investment - long term","22882","asset_non_current","False","Đầu tư khác - dài hạn","l10n_vn.investing_cash_out_captial_contribution,l10n_vn.investing_cash_in_captial_contribution"
"chart2291","Provision for decline in value of trading securities","2291","asset_non_current","False","Dự phòng giảm giá chứng khoán kinh doanh","l10n_vn.operating_provision"
"chart22921","Provision for investment loss in other entities - short term","22921","asset_non_current","False","Dự phòng tổn thất đầu tư vào đơn vị khác- ngắn hạn","l10n_vn.operating_provision"
"chart22922","Provision for investment loss in BBC contracts - short term","22922","asset_non_current","False","Dự phòng tổn thất đầu tư vào hợp đồng BBC- ngắn hạn","l10n_vn.operating_provision"
"chart22923","Provision for investment loss in other entities - long term","22923","asset_non_current","False","Dự phòng tổn thất đầu tư vào đơn vị khác- dài hạn","l10n_vn.operating_provision"
"chart22924","Provision for investment loss in other entities held to maturity - long term","22924","asset_non_current","False","Dự phòng tổn thất đầu tư vào đơn vị khác nắm giữ đến ngày đáo hạn - dài hạn","l10n_vn.operating_provision"
"chart22931","Provision for doubtful debts - short term","22931","asset_non_current","False","Dự phòng phải thu khó đòi - ngắn hạn","l10n_vn.operating_provision"
"chart22932","Provision for doubtful debts - long term","22932","asset_non_current","False","Dự phòng phải thu khó đòi - dài hạn","l10n_vn.operating_provision"
"chart22941","Provision for reserve inventories","22941","asset_non_current","False","Dự phòng giảm giá hàng tồn kho","l10n_vn.operating_provision"
"chart22942","Provision for reserve inventories - long term work in progress","22942","asset_non_current","False","Dự phòng giảm giá hàng tồn kho- chi phí sản xuất, kinh doanh dở dang dài hạn","l10n_vn.operating_provision"
"chart22943","Provision for reserve inventories (Equipment and Spare parts)","22943","asset_non_current","False","Dự phòng giảm giá hàng tồn kho- thiết bị, vật tư, phụ tùng thay thế dài hạn","l10n_vn.operating_provision"
"chart22951","Provision for biology asset loss - Short term","22951","asset_non_current","False","Dự phòng tổn thất tài sản sinh học - Ngắn hạn","l10n_vn.operating_provision"
"chart22952","Provision for biology asset loss - Long term","22952","asset_non_current","False","Dự phòng tổn thất tài sản sinh học - Dài hạn","l10n_vn.operating_provision"
"chart2411","Acquisition of fixed assets","2411","asset_non_current","False","Mua sắm TSCĐ","l10n_vn.investing_purchase_FA"
"chart2412","Construction in progress","2412","asset_non_current","False","Xây dựng cơ bản","l10n_vn.investing_purchase_FA"
"chart2413","Periodic repairs and maintenance of fixed assets","2413","asset_non_current","False","Sửa chữa, bảo dưỡng định kỳ TSCĐ","l10n_vn.investing_purchase_FA"
"chart2414","Upgrading, renovating fixed assets","2414","asset_non_current","False","Nâng cấp, cải tạo TSCĐ","l10n_vn.investing_purchase_FA"
"chart2421","Expenses waiting for allocation - short term","2421","asset_prepayments","False","Chi phí chờ phân bổ - ngắn hạn","l10n_vn.operating_deferred_expense"
"chart24211","Expenses waiting for allocation - short term - Loan Interest","24211","asset_prepayments","False","","l10n_vn.operating_paid_borrowing_expense"
"chart2422","Expenses waiting for allocation - long term","2422","asset_prepayments","False","Chi phí chờ phân bổ - dài hạn","l10n_vn.operating_deferred_expense"
"chart24221","Expenses waiting for allocation - short term - Loan interest","24221","asset_prepayments","False","","l10n_vn.operating_paid_borrowing_expense"
"chart243","Deferred tax assets","243","asset_non_current","False","Tài sản thuế thu nhập hoãn lại",""
"chart2441","Deposits - short term","2441","asset_non_current","False","Ký quỹ, ký cược - ngắn hạn","l10n_vn.operating_trade_receivable"
"chart2442","Deposits - long term","2442","asset_non_current","False","Ký quỹ, ký cược - dài hạn","l10n_vn.operating_trade_receivable"
"chart3311","Trade payables - short term","3311","liability_payable","True","Phải trả cho người bán - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33111","Trade payables - short term","33111","liability_payable","True","Phải trả cho người bán - ngắn hạn","l10n_vn.operating_trade_payable"
