code,id,stripe_name,name
5975,hearing_aids_sales_and_supplies,hearing_aids_sales_and_supplies,Hearing Aids Sales and Supplies
5976,orthopedic_goods_prosthetic_devices,orthopedic_goods_prosthetic_devices,Orthopedic Goods Prosthetic Devices
5977,cosmetic_stores,cosmetic_stores,Cosmetic Stores
5978,typewriter_stores,typewriter_stores,Typewriter Stores
5983,fuel_dealers_non_automotive,fuel_dealers_non_automotive,Fuel Dealers Non Automotive
5992,florists,florists,Florists
5993,cigar_stores_and_stands,cigar_stores_and_stands,Cigar Stores and Stands
5994,news_dealers_and_newsstands,news_dealers_and_newsstands,News Dealers and Newsstands
5995,pet_shops_pet_food_and_supplies,pet_shops_pet_food_and_supplies,Pet Shops Pet Food and Supplies
5996,swimming_pools_sales,swimming_pools_sales,Swimming Pools Sales
5997,electric_razor_stores,electric_razor_stores,Electric Razor Stores
5998,tent_and_awning_shops,tent_and_awning_shops,Tent and Awning Shops
5999,miscellaneous_specialty_retail,miscellaneous_specialty_retail,Miscellaneous Specialty Retail
6012,financial_institutions,financial_institutions,Financial Institutions
6051,non_fi_money_orders,non_fi_money_orders,Non-Fi Money Orders
6211,security_brokers_dealers,security_brokers_dealers,Security Brokers Dealers
6300,insurance_underwriting_premiums,insurance_underwriting_premiums,Insurance Underwriting Premiums
6513,real_estate_agents_and_managers_rentals,real_estate_agents_and_managers_rentals,Real Estate Agents and Managers Rentals
6540,non_fi_stored_value_card_purchase_load,non_fi_stored_value_card_purchase_load,Non-Fi Stored Value Card Purchase Load
7011,hotels_motels_and_resorts,hotels_motels_and_resorts,Hotels Motels and Resorts
7012,timeshares,timeshares,Timeshares
7032,sporting_recreation_camps,sporting_recreation_camps,Sporting Recreation Camps
7033,trailer_parks_campgrounds,trailer_parks_campgrounds,Trailer Parks Campgrounds
7210,laundry_cleaning_services,laundry_cleaning_services,Laundry Cleaning Services
7211,laundries,laundries,Laundries
7216,dry_cleaners,dry_cleaners,Dry Cleaners
7217,carpet_upholstery_cleaning,carpet_upholstery_cleaning,Carpet Upholstery Cleaning
7221,photographic_studios,photographic_studios,Photographic Studios
7230,barber_and_beauty_shops,barber_and_beauty_shops,Barber and Beauty Shops
7251,shoe_repair_hat_cleaning,shoe_repair_hat_cleaning,Shoe Repair Hat Cleaning
7261,funeral_services_crematories,funeral_services_crematories,Funeral Services Crematories
7276,tax_preparation_services,tax_preparation_services,Tax Preparation Services
7277,counseling_services,counseling_services,Counseling Services
7278,buying_shopping_services,buying_shopping_services,Buying Shopping Services
7296,clothing_rental,clothing_rental,Clothing Rental
7297,massage_parlors,massage_parlors,Massage Parlors
7298,health_and_beauty_spas,health_and_beauty_spas,Health and Beauty Spas
7299,miscellaneous_general_services,miscellaneous_general_services,Miscellaneous General Services
7311,advertising_services,advertising_services,Advertising Services
7321,credit_reporting_agencies,credit_reporting_agencies,Credit Reporting Agencies
7333,commercial_photography_art_and_graphics,commercial_photography_art_and_graphics,Commercial Photography Art and Graphics
7338,quick_copy_repro_and_blueprint,quick_copy_repro_and_blueprint,Quick Copy Repro and Blueprint
7339,secretarial_support_services,secretarial_support_services,Secretarial Support Services
7342,exterminating_services,exterminating_services,Exterminating Services
7349,cleaning_and_maintenance,cleaning_and_maintenance,Cleaning and Maintenance
